block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
5,3,4.0,6.0,8,-0.08423204634441693,0.7654057341449
5,4,6.0,8.0,11,0.1040166706083231,0.7833210487651746
5,5,8.0,10.0,9,-0.10391606978267141,0.7295087763291951
5,6,10.0,12.0,14,0.09404202042915528,0.769795439756378
5,7,12.0,14.0,8,0.21657607635017692,0.7587147312851791
5,8,14.0,16.0,12,-0.14186467556587268,0.751390488191713
5,9,16.0,18.0,9,0.06743827076090739,0.7683619323314604
5,10,18.0,20.0,13,-0.15723218795422908,0.7672364967872081
5,11,20.0,22.0,9,-0.07449875229616253,0.7817721926824215
5,12,22.0,24.0,11,-0.203841460664527,0.7256569172362491
6,1,0.0,2.0,15,-0.04645886712406573,0.6876257980369982
6,2,2.0,4.0,11,0.08637985105433993,0.7795680051677776
6,3,4.0,6.0,8,-0.05479309334412163,0.7553761262714218
6,4,6.0,8.0,11,-0.046372265882678294,0.7601588370969625
6,5,8.0,10.0,9,-0.057093072999424836,0.7320607177032618
6,6,10.0,12.0,14,-0.025671330163898057,0.7459051988202297
6,7,12.0,14.0,8,-0.15298401157114003,0.7806942760067789
6,8,14.0,16.0,12,-0.19204330080769622,0.769666153543663
6,9,16.0,18.0,9,0.03972936843048052,0.7472051664607223
6,10,18.0,20.0,13,-0.09670402870396118,0.7557697975162765
6,11,20.0,22.0,9,0.005099171890994951,0.7582933052486085
6,12,22.0,24.0,11,-0.21589396172629302,0.7278676299293964
7,1,0.0,2.0,15,-0.18044337346389366,0.7340102727515552
7,2,2.0,4.0,11,-0.18843631962610402,0.7588183272695321
7,3,4.0,6.0,8,-0.15658791165950992,0.7664847480532223
7,4,6.0,8.0,11,-0.1412191931486366,0.7552141847465682
7,5,8.0,10.0,9,0.0698040809190526,0.7741651326571836
7,6,10.0,12.0,14,0.2088257708159559,0.7504839262665686
7,7,12.0,14.0,8,0.010008847387327317,0.783505272173116
7,8,14.0,16.0,12,-0.16012770363914972,0.7371525164792747
7,9,16.0,18.0,9,-0.18785883651821458,0.7538106812605792
7,10,18.0,20.0,13,-0.08195011788639243,0.762505741270047
7,11,20.0,22.0,9,-0.17209351905934817,0.767414082931316
7,12,22.0,24.0,11,-0.1458263294283397,0.7257134176705257
8,1,0.0,2.0,15,-0.1630890082406068,0.7653790267711295
8,2,2.0,4.0,11,-0.10377924900368188,0.7939800969077341
8,3,4.0,6.0,8,-0.0017821999417373733,0.797218560951902
8,4,6.0,8.0,11,0.17153132971077303,0.7485049064424922
8,5,8.0,10.0,9,-0.0040506774811802666,0.7508644359628166
8,6,10.0,12.0,14,0.08581364202576819,0.7788236191429821
8,7,12.0,14.0,8,-0.07417722246901015,0.7492701403072363
8,8,14.0,16.0,12,0.06034217403976527,0.7502446849651313
8,9,16.0,18.0,9,-0.054886575346087096,0.7707289195234863
8,10,18.0,20.0,13,-0.2444175279765873,0.7514861715136439
8,11,20.0,22.0,9,-0.015974590574828675,0.7531634896986839
8,12,22.0,24.0,11,-0.050147619727235374,0.6935464862933557
9,1,0.0,2.0,15,-0.17999021575048066,0.7304804757730979
9,2,2.0,4.0,11,-0.11755098675833558,0.7647645949520904
9,3,4.0,6.0,8,-0.10727602155545893,0.7678929969582491
9,4,6.0,8.0,11,0.17104044438961394,0.7585831370879745
9,5,8.0,10.0,9,0.1758442895773187,0.7414163714731654
9,6,10.0,12.0,14,0.1775123729568875,0.7313547586121203
9,7,12.0,14.0,8,-0.024980468972487152,0.7436509166992914
9,8,14.0,16.0,12,-0.1326926239388548,0.7203624112785609
